ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,home_team,home_score,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_off_rtg,away_def_rtg,away_team,away_score,date,total_game_score,line,away_line,over_under
0.592,0.573,0.479,0.167,18.8,82.7,52,57.4,7.6,3.9,12,116.2,95.3,bos,122,0.518,0.483,0.427,0.191,17.3,81.3,48,52.6,7.6,14,15,95.3,116.2,tor,100,20200807,222,-116,103,221.5
0.505,0.484,0.462,0.176,22.2,86.5,51.2,64.9,13.3,9.4,18.3,94.1,102.7,mem,99,0.631,0.585,0.549,0.465,13.5,77.8,48.8,73.5,16.2,14.3,22.6,102.7,94.1,tor,108,20200809,207,-114,101,221.5
0.561,0.506,0.437,0.264,19.1,71.1,44.6,75,8.9,20,13.4,108.2,116.2,den,109,0.608,0.6,0.389,0.156,28.9,80.9,55.4,60,7.9,10.2,16.5,116.2,108.2,tor,117,20200814,226,-114,102,223.5
0.62,0.59,0.462,0.218,12.5,66.1,45.1,59.5,2,8.5,21.2,104.7,110.7,tor,106,0.483,0.445,0.349,0.147,33.9,87.5,54.9,50,9.9,19,7.2,110.7,104.7,bos,112,20191025,218,-103,-107,213.5
0.567,0.549,0.549,0.293,11.1,88.9,50,55.3,2.9,7.8,13.9,102.6,113.3,mil,105,0.573,0.538,0.446,0.228,11.1,88.9,50,61,3.9,10.8,8.2,113.3,102.6,bos,116,20191030,221,-102,-108,224.5
0.499,0.473,0.409,0.226,28.1,92.1,53.7,59.5,9.3,10,11.3,105.3,107.4,nyk,102,0.599,0.52,0.459,0.392,7.9,71.9,46.3,63.6,7.2,7.3,13.9,107.4,105.3,bos,104,20191101,206,-105,-105,212.5
0.523,0.478,0.472,0.315,26.5,76.7,50,59.5,2.2,9.8,5.6,114.4,125.2,dal,106,0.598,0.564,0.407,0.291,23.3,73.5,50,61,4.3,10.6,8.5,125.2,114.4,bos,116,20191111,222,-113,103,220.5
0.616,0.578,0.302,0.281,20.9,73,45,56,4.8,6.7,6.9,127,133.6,was,133,0.644,0.594,0.375,0.302,27,79.1,55,65.3,4.8,7.5,9.2,133.6,127,bos,140,20191113,273,-112,102,229.5
0.596,0.582,0.595,0.19,22.9,71.8,48.6,75.7,3.3,14.5,14.1,113.5,114.6,sac,102,0.541,0.488,0.353,0.271,28.2,77.1,51.4,52.6,11.1,12.5,10.4,114.6,113.5,bos,103,20191125,205,-107,-103,206
0.559,0.561,0.622,0.211,23.4,58.7,40.9,80,5.1,9.5,13.2,111.8,123,brk,110,0.562,0.51,0.351,0.247,41.3,76.6,59.1,53.5,10.2,14.7,11.5,123,111.8,bos,121,20191127,231,-107,-103,214.5
