ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,teams,score,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_usg_pct,away_off_rtg,away_def_rtg,away_teams,away_score,date
.616,.578,.302,.281,20.9,73.0,45.0,56.0,4.8,6.7,6.9,100.0,127.0,133.6,was,133,.644,.594,.375,.302,27.0,79.1,55.0,65.3,4.8,7.5,9.2,100.0,133.6,127.0,bos,140,20191113
.596,.582,.595,.190,22.9,71.8,48.6,75.7,3.3,14.5,14.1,100.0,113.5,114.6,sac,102,.541,.488,.353,.271,28.2,77.1,51.4,52.6,11.1,12.5,10.4,100.0,114.6,113.5,bos,103,20191125
.559,.561,.622,.211,23.4,58.7,40.9,80.0,5.1,9.5,13.2,100.0,111.8,123.0,brk,110,.562,.510,.351,.247,41.3,76.6,59.1,53.5,10.2,14.7,11.5,100.0,123.0,111.8,bos,121,20191127
.550,.532,.494,.221,18.2,76.2,46.5,58.8,7.6,5.3,17.6,100.0,101.1,121.7,mia,93,.602,.544,.519,.405,23.8,81.8,53.5,60.0,8.7,20.5,9.7,100.0,121.7,101.1,bos,112,20191204
.472,.441,.319,.160,26.7,87.9,52.6,46.2,5.2,8.5,10.7,100.0,99.2,112.7,den,95,.631,.616,.427,.098,12.1,73.3,47.4,47.7,5.2,7.8,14.9,100.0,112.7,99.2,bos,108,20191206
.443,.434,.341,.209,34.6,84.4,53.6,50.0,8.4,3.9,15.3,100.0,92.7,115.8,cle,88,.675,.673,.346,.103,15.6,65.4,46.4,48.9,8.4,15.0,18.1,100.0,115.8,92.7,bos,110,20191209
.624,.585,.341,.280,25.0,80.4,57.7,65.9,4.3,13.3,10.7,100.0,124.5,118.0,phi,115,.553,.522,.341,.187,19.6,75.0,42.3,57.1,4.3,13.0,5.7,100.0,118.0,124.5,bos,109,20191212
.498,.465,.365,.224,22.4,65.8,41.4,61.8,12.8,3.4,20.4,100.0,91.3,111.9,det,93,.598,.576,.314,.244,34.2,77.6,58.6,53.3,12.8,16.7,17.4,100.0,111.9,91.3,bos,114,20191220
.505,.463,.415,.280,4.1,71.4,32.1,78.8,3.2,8.9,3.2,100.0,100.7,128.9,cho,93,.626,.602,.364,.182,28.6,95.9,67.9,54.3,2.2,18.8,10.4,100.0,128.9,100.7,bos,119,20191222
.598,.571,.271,.341,16.2,72.7,46.9,50.0,7.0,5.5,10.1,100.0,116.6,128.6,cle,117,.624,.589,.421,.200,27.3,83.8,53.1,57.1,4.0,16.1,9.6,100.0,128.6,116.6,bos,129,20191227
.618,.607,.405,.202,38.5,84.4,63.1,61.4,8.2,6.5,19.4,100.0,115.9,99.5,tor,113,.517,.442,.410,.462,15.6,61.5,36.9,58.1,11.3,8.0,13.0,100.0,99.5,115.9,bos,97,20191228
.532,.505,.484,.161,12.5,75.0,43.8,66.7,5.8,7.4,12.3,100.0,101.7,104.6,atl,106,.515,.473,.269,.312,25.0,87.5,56.3,56.1,8.6,14.6,10.2,100.0,104.6,101.7,bos,109,20200103
.655,.603,.333,.299,20.5,83.7,55.7,58.3,8.6,11.8,12.5,100.0,123.0,108.7,sas,129,.558,.489,.427,.337,16.3,79.5,44.3,70.3,6.7,3.4,12.8,100.0,108.7,123.0,bos,114,20200108
.486,.470,.450,.180,25.9,73.7,44.8,72.5,3.8,8.5,12.9,100.0,99.5,132.6,nop,105,.649,.620,.290,.180,26.3,74.1,55.2,52.7,13.3,5.5,8.5,100.0,132.6,99.5,bos,140,20200111
.546,.494,.309,.321,17.5,75.6,46.9,43.2,5.2,8.3,13.2,100.0,105.1,117.5,chi,101,.590,.524,.277,.349,24.4,82.5,53.1,71.8,7.3,10.7,11.1,100.0,117.5,105.1,bos,113,20200113
.672,.679,.410,.244,8.8,70.5,43.6,63.8,8.6,7.3,11.3,100.0,124.5,110.5,det,116,.561,.548,.337,.241,29.5,91.2,56.4,51.2,7.5,4.3,14.0,100.0,110.5,124.5,bos,103,20200115
.602,.545,.348,.337,22.2,91.3,57.1,64.3,5.6,11.1,12.8,100.0,114.1,110.4,pho,123,.563,.516,.438,.229,8.7,77.8,42.9,61.9,10.2,10.3,9.4,100.0,110.4,114.1,bos,119,20200118
.526,.478,.292,.326,26.1,63.2,42.9,56.4,4.9,13.6,12.8,100.0,105.9,137.6,lal,107,.657,.645,.366,.312,36.8,73.9,57.1,59.6,9.9,7.9,10.2,100.0,137.6,105.9,bos,139,20200120
.519,.488,.376,.176,12.5,79.5,47.6,66.7,7.1,14.0,14.9,100.0,96.5,120.9,mem,95,.608,.584,.360,.225,20.5,87.5,52.4,71.1,11.2,17.0,8.4,100.0,120.9,96.5,bos,119,20200122
.576,.506,.506,.390,7.5,65.9,37.0,72.7,10.8,11.3,15.1,100.0,102.2,117.0,gsw,104,.609,.563,.398,.250,34.1,92.5,63.0,64.3,11.8,10.5,18.4,100.0,117.0,102.2,bos,119,20200130
.486,.411,.393,.369,28.3,79.1,52.8,48.4,6.3,6.0,12.5,100.0,99.3,121.2,phi,95,.592,.525,.375,.513,20.9,71.7,47.2,39.5,9.4,3.9,9.3,100.0,121.2,99.3,bos,116,20200201
.567,.513,.413,.400,20.5,83.3,48.8,62.5,10.4,9.5,16.2,100.0,104.2,120.9,orl,100,.623,.610,.267,.186,16.7,79.5,51.3,50.0,10.4,13.6,11.4,100.0,120.9,104.2,bos,116,20200205
.549,.483,.453,.302,25.0,75.6,49.5,60.0,7.2,16.3,12.6,100.0,110.5,115.6,atl,107,.572,.523,.430,.314,24.4,75.0,50.5,62.2,5.2,17.0,11.7,100.0,115.6,110.5,bos,112,20200207
.527,.468,.318,.336,24.1,85.4,51.9,41.3,3.2,16.7,10.6,100.0,107.6,114.1,lac,133,.585,.524,.417,.388,14.6,75.9,48.1,48.9,7.3,8.0,10.4,100.0,114.1,107.6,bos,141,20200213
.524,.495,.561,.184,23.1,74.5,49.5,41.5,9.3,13.8,13.1,100.0,103.5,102.6,hou,111,.495,.455,.420,.250,25.5,76.9,50.5,56.4,10.3,14.0,11.2,100.0,102.6,103.5,bos,110,20200229
.553,.500,.490,.380,43.1,75.9,60.0,51.2,6.3,11.1,14.6,100.0,116.8,108.7,brk,129,.530,.500,.476,.223,24.1,56.9,40.0,54.5,9.1,11.8,11.7,100.0,108.7,116.8,bos,120,20200303
.580,.556,.563,.150,20.0,71.1,47.1,63.9,8.5,12.1,17.4,100.0,105.1,99.8,uta,99,.461,.426,.383,.191,28.9,80.0,52.9,54.3,6.4,17.1,10.5,100.0,99.8,105.1,bos,94,20200306
.559,.506,.316,.430,10.3,76.1,45.9,45.7,8.9,12.7,14.6,100.0,103.7,102.7,okc,105,.518,.484,.402,.207,23.9,89.7,54.1,57.9,8.9,9.3,11.5,100.0,102.7,103.7,bos,104,20200308
.639,.606,.467,.178,23.1,81.3,49.3,68.9,8.2,10.6,11.0,100.0,127.3,131.4,por,124,.696,.662,.390,.442,18.8,76.9,50.7,57.1,9.2,12.5,13.2,100.0,131.4,127.3,bos,128,20200802
.552,.516,.337,.221,15.9,81.8,44.2,51.1,8.2,4.1,14.0,100.0,104.3,135.1,brk,115,.721,.682,.443,.398,18.2,84.1,55.8,58.0,9.1,15.9,11.9,100.0,135.1,104.3,bos,149,20200805
.525,.475,.461,.255,22.6,75.5,49.1,58.5,6.4,6.5,10.3,100.0,108.5,111.3,orl,119,.542,.500,.392,.235,24.5,77.4,50.9,71.1,8.2,12.7,9.6,100.0,111.3,108.5,bos,122,20200809
.487,.443,.295,.273,32.1,74.5,52.3,64.7,11.3,11.3,15.4,100.0,98.9,92.7,was,96,.478,.443,.398,.159,25.5,67.9,47.7,62.9,8.2,11.3,16.0,100.0,92.7,98.9,bos,90,20200813
.443,.406,.289,.378,16.7,72.1,39.8,54.5,3.9,3.6,8.7,100.0,91.4,105.2,bos,93,.531,.476,.341,.424,27.9,83.3,60.2,64.9,5.9,10.9,12.9,100.0,105.2,91.4,phi,107,20191023
.509,.457,.432,.346,13.0,63.6,37.8,37.5,12.2,9.0,18.4,100.0,89.4,110.1,min,95,.561,.516,.272,.304,36.4,87.0,62.2,55.8,13.2,13.0,17.4,100.0,110.1,89.4,phi,117,20191030
.566,.536,.393,.262,13.3,71.4,38.8,57.9,9.1,1.8,12.2,100.0,107.1,115.1,cho,106,.626,.607,.333,.190,28.6,86.7,61.3,63.0,9.1,9.8,18.0,100.0,115.1,107.1,phi,114,20191110
.512,.471,.244,.233,20.5,76.6,49.5,34.2,10.4,0.0,12.1,100.0,100.8,101.9,cle,97,.517,.494,.427,.146,23.4,79.5,50.5,60.0,8.3,12.3,12.9,100.0,101.9,100.8,phi,98,20191112
.574,.554,.298,.179,17.1,77.8,48.8,42.5,8.3,10.5,13.4,100.0,107.5,112.7,nyk,104,.543,.511,.360,.292,22.2,82.9,51.2,76.9,5.2,8.5,9.1,100.0,112.7,107.5,phi,109,20191120
.565,.541,.212,.188,7.3,69.0,38.6,48.8,6.1,4.8,10.7,100.0,105.9,117.1,sas,104,.591,.573,.292,.213,31.0,92.7,61.4,69.6,8.1,6.0,13.3,100.0,117.1,105.9,phi,115,20191122
.495,.440,.320,.360,20.0,78.4,46.3,40.0,6.4,7.4,16.4,100.0,91.7,120.5,mia,86,.624,.590,.349,.205,21.6,80.0,53.7,66.7,11.7,3.9,13.4,100.0,120.5,91.7,phi,113,20191123
.460,.458,.358,.095,16.0,82.9,46.2,56.4,9.2,5.9,10.0,100.0,92.8,98.9,sac,91,.554,.500,.338,.312,17.1,84.0,53.8,55.6,8.2,16.4,16.3,100.0,98.9,92.8,phi,97,20191127
.667,.625,.289,.329,9.7,87.5,49.2,52.4,7.0,5.6,17.9,100.0,116.2,119.2,ind,116,.641,.565,.299,.468,12.5,90.3,50.8,71.1,12.0,9.3,11.4,100.0,119.2,116.2,phi,119,20191130
.523,.500,.272,.247,11.4,82.2,47.2,60.5,5.8,12.3,17.5,100.0,91.0,99.7,uta,94,.509,.478,.286,.253,17.8,88.6,52.8,64.9,11.6,5.1,12.2,100.0,99.7,91.0,phi,103,20191202
.454,.422,.365,.177,21.2,70.6,40.7,55.6,3.9,0.0,14.1,100.0,92.6,138.9,cle,94,.704,.694,.289,.256,29.4,78.8,59.3,75.4,12.8,13.1,7.4,100.0,138.9,92.6,phi,141,20191207
.537,.494,.375,.227,27.7,82.9,51.2,55.3,13.2,8.5,15.7,100.0,105.3,111.4,tor,104,.623,.595,.405,.266,17.1,72.3,48.8,77.5,7.1,9.1,16.9,100.0,111.4,105.3,phi,110,20191208
.510,.476,.318,.141,11.9,73.3,43.7,78.4,12.5,17.0,12.6,100.0,95.7,100.9,den,92,.505,.483,.404,.180,26.7,88.1,56.3,64.9,9.4,5.2,13.5,100.0,100.9,95.7,phi,97,20191210
.527,.483,.273,.398,24.0,78.6,48.9,63.2,5.1,3.0,8.0,100.0,110.3,117.4,nop,109,.569,.534,.230,.391,21.4,76.0,51.1,55.8,7.1,12.5,8.1,100.0,117.4,110.3,phi,116,20191213
.576,.541,.365,.235,29.7,70.6,53.4,65.0,6.5,7.8,11.3,100.0,117.1,112.7,mia,108,.531,.489,.433,.200,29.4,70.3,46.6,63.2,9.8,9.3,11.7,100.0,112.7,117.1,phi,104,20191218
.631,.602,.398,.265,18.6,78.8,51.6,53.5,10.0,7.1,14.7,100.0,116.8,97.9,dal,117,.500,.478,.378,.200,21.2,81.4,48.4,65.8,9.0,4.0,13.3,100.0,97.9,116.8,phi,98,20191220
.524,.449,.352,.386,15.9,66.0,41.8,50.0,6.9,4.9,9.7,100.0,106.0,122.7,was,108,.605,.596,.351,.223,34.0,84.1,58.2,57.1,6.9,7.0,11.9,100.0,122.7,106.0,phi,125,20191221
.553,.542,.347,.084,18.6,73.6,49.0,51.1,6.1,10.5,9.2,100.0,111.1,123.4,mil,109,.562,.540,.436,.149,26.4,81.4,51.0,65.9,9.2,11.3,6.1,100.0,123.4,111.1,phi,121,20191225
.550,.517,.326,.348,29.8,78.6,52.8,42.5,3.1,4.7,10.5,100.0,116.0,123.1,okc,113,.613,.583,.289,.200,21.4,70.2,47.2,67.4,4.1,0.0,9.3,100.0,123.1,116.0,phi,120,20200106
.535,.511,.409,.091,18.6,69.8,44.2,44.7,8.5,1.6,13.3,100.0,104.5,116.3,bos,98,.571,.551,.307,.193,30.2,81.4,55.8,55.8,6.4,9.6,11.2,100.0,116.3,104.5,phi,109,20200109
.529,.506,.287,.345,23.4,71.7,47.3,52.6,9.1,1.7,11.5,100.0,107.8,118.9,brk,106,.591,.574,.341,.284,28.3,76.6,52.7,55.6,7.1,17.7,10.8,100.0,118.9,107.8,phi,117,20200115
.508,.481,.432,.185,14.6,77.5,45.7,60.0,8.7,5.7,15.4,100.0,97.2,109.2,chi,89,.576,.543,.354,.134,22.5,85.4,54.3,75.0,9.8,15.2,11.2,100.0,109.2,97.2,phi,100,20200117
.528,.500,.408,.303,15.4,78.4,46.1,65.7,12.2,2.4,19.6,100.0,92.2,109.4,lal,91,.625,.609,.474,.244,21.6,84.6,53.9,46.3,12.2,6.7,19.6,100.0,109.4,92.2,phi,108,20200125
